step	accuracy
0	0.0729584431816237
1	1.901027196122792
2	2.053586401470361
3	3.201164363469582
4	4.326713157396103
5	5.3185816732925595
6	6.169111216296361
7	7.324907914249273
8	8.301936129654136
9	9.337260837852648
10	10.701303904558653
11	11.042391091039992
12	12.043660771799171
13	13.358827083740849
14	14.133462237370473
